8225:43335,9490,32558,774,33639,6423,7817,9159,17,10046
8224:76,302,96654,814,7624,2982,79703,17,654,3028
20439:302,76,58,616,84,866,650,17,8,654
10999:100915,76,58,616,11122,866,38977,45014,17,654
8227:102264,84570,84773,49702,58301,16409,21804,30109,17,7740
33547:669,76,302,58,616,84,866,17,8,654
20438:76,302,58,616,84,866,26165,17,8,654
34227:50402,76,302,58,616,84,866,17,8,654
33541:63591,302,84006,24864,28937,17,108528,40942,5783,654
22523:76,302,58,616,84,866,650,12773,8,654
10991:115140,115265,82681,14171,89977,11070,71074,6623,1234,47530
22521:76,302,58,616,4308,84,866,17,8,654
5378:15583,11459,917,16595,20440,153,17083,591,6231,11479
23653:76,302,58,616,84,866,650,17,8,654
3279:302,58,616,84,650,5739,17,68164,8,654
2951:76,302,12712,58,616,866,7803,17,8,654
1821:76,302,58,616,866,2302,17,2770,654,14202
535:76,327,81,866,650,518,29,17,14586,8
1822:535,302,58,616,2976,6957,3476,17,10560,654
46650:76,302,12952,58,616,84,866,17,8,654
1820:76,302,106146,109744,34129,616,65,23191,17,654
539:34271,45237,64596,1039,120285,25837,7409,17,4034,14202
538:76,302,10269,58,616,1589,5258,866,650,654
1823:10118,15583,11459,917,16595,20440,6130,153,2158,591
2959:7869,76,302,58,616,866,17,48593,944,654
536:76,302,58,616,813,97,866,749,654,8276
8217:76,302,58,84,866,650,1786,17,8,654
14681:28227,121921,23523,14966,119249,7627,87631,29543,20836,35657
6093:76,58,616,47483,650,749,29,20053,8,654
14676:3062,76,58,616,12803,10349,2890,3638,5657,654
22515:76,302,58,616,84,866,650,17,8,654
16008:76,302,58,616,84,866,17,6469,8,654
5361:46904,2338,302,15,22606,13704,518,29,1476,17
3295:7305,5812,62168,76,302,616,6916,17,87110,654
6883:76,302,58,616,84,866,650,17,8,654
20443:31598,76,302,58,616,84,866,17,8,654
20441:76,302,58,616,84,866,650,17,8,654
52031:76,302,58,616,83804,3733,117950,866,17,654
33554:76,302,58,616,84,866,650,17,8,654
5364:7450,83764,13279,82444,11070,72618,21442,10033,35879,10305
20440:76,302,58,616,10692,84,866,17,8,654
33557:99983,76,302,37274,19350,86808,103630,86058,17,654
6881:18239,686,21799,5630,6491,785,89847,60905,6127,11671
5358:1339,7048,4107,21380,1288,6793,931,889,431,873
36242:76,302,226,58,616,84,866,17,8,654
10090:76,302,58,616,84,866,890,17,8,654
7:76,302,58,49893,616,866,77960,650,29,8
2947:45907,66050,17807,18970,55423,41549,2741,24301,74456,1263
8206:47339,76,302,58,616,84,866,17,8,654
52833:76,302,58,616,84,866,17,3841,8,654
23637:2876,692,4173,44,45,495,749,1476,3234,29
8245:302,76,58,616,84,866,650,17,8,654
50871:76,302,81041,58,616,28446,23339,37436,17,654
6083:5111,76,302,58,616,866,10230,2548,17,654
25779:13178,29626,72508,74521,1218,6263,1462,17,52329,65021
16929:67019,76,302,58,616,84,866,17,8,654
16926:76,302,58,616,65,84,866,17,8,654
25778:78187,76,302,58,616,84,866,17,8,654
23631:101657,58205,76,302,58,616,866,17,8,654
36216:76,302,58,616,84,866,17,8,654,25530
6895:76,302,58,616,866,15568,49241,17,654,10947
10088:76,302,58,616,866,40142,50278,25368,17,654
22501:76,302,58,616,84,866,511,17,8,654
20456:76,302,58,616,84,866,51979,17,8,654
33561:76,302,58,616,22018,84,866,17,8,654
6894:76,302,58,112582,616,866,17,5152,8,654
27381:76,302,58,616,8465,866,22511,17,74565,654
10084:76,302,58,616,84,866,650,17,8,654
6889:76,302,58,616,84,866,650,29,8,654
25771:76,302,58,616,84,866,363,17,8,654
10086:10259,76,302,58,616,866,9326,17,8,654
1841:80871,76,302,616,37590,9491,18993,17,24843,654
2977:76,302,59612,58,616,866,3915,17,8,654
